frame_number,timestamp,src_ip,src_port,dst_ip,dst_port,protocol,size,summary
133,2025-08-11 09:33:59.656283,52.115.109.31,3481,192.168.1.3,50041,UDP,1213,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1179
134,2025-08-11 09:33:59.657295,52.115.109.31,3481,192.168.1.3,50041,UDP,1231,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1197
135,2025-08-11 09:33:59.657992,52.115.109.31,3481,192.168.1.3,50041,UDP,1231,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1197
136,2025-08-11 09:33:59.658669,52.115.109.31,3481,192.168.1.3,50041,UDP,1231,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1197
137,2025-08-11 09:33:59.659537,52.115.109.31,3481,192.168.1.3,50041,UDP,1231,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1197
138,2025-08-11 09:33:59.660272,52.115.109.31,3481,192.168.1.3,50041,UDP,1231,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1197
139,2025-08-11 09:33:59.660992,52.115.109.31,3481,192.168.1.3,50041,UDP,1231,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1197
140,2025-08-11 09:33:59.662531,52.115.109.31,3481,192.168.1.3,50041,UDP,1231,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1197
141,2025-08-11 09:33:59.664098,52.115.109.31,3481,192.168.1.3,50041,UDP,1231,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1197
142,2025-08-11 09:33:59.664770,52.115.109.31,3481,192.168.1.3,50041,UDP,1231,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1197
143,2025-08-11 09:33:59.665393,52.115.109.31,3481,192.168.1.3,50041,UDP,1231,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1197
144,2025-08-11 09:33:59.666027,52.115.109.31,3481,192.168.1.3,50041,UDP,1231,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1197
145,2025-08-11 09:33:59.666751,52.115.109.31,3481,192.168.1.3,50041,UDP,1231,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1197
146,2025-08-11 09:33:59.667471,52.115.109.31,3481,192.168.1.3,50041,UDP,1231,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1197
147,2025-08-11 09:33:59.669524,52.115.109.31,3481,192.168.1.3,50041,UDP,1231,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1197
148,2025-08-11 09:33:59.670163,52.115.109.31,3481,192.168.1.3,50041,UDP,1231,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1197
149,2025-08-11 09:33:59.670757,52.115.109.31,3479,192.168.1.3,50017,UDP,160,UDP: 52.115.109.31:3479 -> 192.168.1.3:50017 Len=126
150,2025-08-11 09:33:59.671044,52.115.109.31,3480,192.168.1.3,50030,UDP,114,UDP: 52.115.109.31:3480 -> 192.168.1.3:50030 Len=80
151,2025-08-11 09:33:59.671274,108.158.61.91,443,192.168.1.3,49720,TCP,54,TCP: 108.158.61.91:443 -> 192.168.1.3:49720 [ACK] Seq=1744385584 Ack=1904971219 Win=569 Length: 54 bytes
152,2025-08-11 09:33:59.671822,52.115.109.31,3479,192.168.1.3,50017,UDP,161,UDP: 52.115.109.31:3479 -> 192.168.1.3:50017 Len=127
153,2025-08-11 09:33:59.686059,52.115.109.31,3479,192.168.1.3,50017,UDP,152,UDP: 52.115.109.31:3479 -> 192.168.1.3:50017 Len=118
154,2025-08-11 09:33:59.701009,192.168.1.3,50041,52.115.109.31,3481,UDP,350,UDP: 192.168.1.3:50041 -> 52.115.109.31:3481 Len=316
155,2025-08-11 09:33:59.706580,52.115.109.31,3479,192.168.1.3,50017,UDP,155,UDP: 52.115.109.31:3479 -> 192.168.1.3:50017 Len=121
156,2025-08-11 09:33:59.712830,192.168.1.3,50041,52.115.109.31,3481,UDP,158,UDP: 192.168.1.3:50041 -> 52.115.109.31:3481 Len=124
157,2025-08-11 09:33:59.721930,52.115.109.31,3479,192.168.1.3,50017,UDP,175,UDP: 52.115.109.31:3479 -> 192.168.1.3:50017 Len=141
158,2025-08-11 09:33:59.753018,52.115.109.31,3479,192.168.1.3,50017,UDP,172,UDP: 52.115.109.31:3479 -> 192.168.1.3:50017 Len=138
159,2025-08-11 09:33:59.762146,52.115.109.31,3479,192.168.1.3,50017,UDP,166,UDP: 52.115.109.31:3479 -> 192.168.1.3:50017 Len=132
160,2025-08-11 09:33:59.766210,192.168.1.3,50017,52.115.109.31,3479,UDP,158,UDP: 192.168.1.3:50017 -> 52.115.109.31:3479 Len=124
161,2025-08-11 09:33:59.771039,52.115.109.31,3481,192.168.1.3,50041,UDP,230,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=196
162,2025-08-11 09:33:59.771592,52.115.109.31,3481,192.168.1.3,50041,UDP,110,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=76
163,2025-08-11 09:33:59.772497,52.115.109.31,3481,192.168.1.3,50041,UDP,86,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=52
164,2025-08-11 09:33:59.772907,52.115.109.31,3481,192.168.1.3,50041,UDP,1218,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1184
165,2025-08-11 09:33:59.774709,52.115.109.31,3481,192.168.1.3,50041,UDP,1218,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1184
